measurement_id,series,edge_gap_cm,repeat,source_archive,mean_field_x_ut,mean_field_y_ut,mean_field_z_ut,mean_absolute_field_ut,std_absolute_field_ut,background_reference_x_ut,background_reference_y_ut,background_reference_z_ut,delta_field_x_ut,delta_field_y_ut,delta_field_z_ut,anomaly_field_ut
dmin_r1,dmin,0.000000,1,Anomaly_Hunter/dmin/Magnetometer 2026-08-18 03-59-02.zip,-6.098650,-116.832484,33.842152,121.788175,0.131117,26.587561,3.541189,-56.203483,-32.686212,-120.373673,90.045636,153.838962
dmin_r2,dmin,0.000000,2,Anomaly_Hunter/dmin/Magnetometer 2026-08-18 03-59-27.zip,-6.181760,-116.903191,33.369909,121.729861,0.133002,26.587561,3.541189,-56.203483,-32.769321,-120.444380,89.573393,153.636160
dmin_r3,dmin,0.000000,3,Anomaly_Hunter/dmin/Magnetometer 2026-08-18 03-59-50.zip,-6.141726,-116.782074,32.934180,121.492834,0.125430,26.587561,3.541189,-56.203483,-32.729287,-120.323263,89.137663,153.278886
d05_r1,d05,5.000000,1,Anomaly_Hunter/d05/Magnetometer 2026-08-18 03-54-39.zip,30.041016,7.889687,-45.213269,54.854141,0.169610,26.587561,3.541189,-56.203483,3.453455,4.348498,10.990214,12.313431
d05_r2,d05,5.000000,2,Anomaly_Hunter/d05/Magnetometer 2026-08-18 03-55-06.zip,29.966051,7.864322,-45.564474,55.099621,0.141332,26.587561,3.541189,-56.203483,3.378490,4.323133,10.639010,11.970472
d05_r3,d05,5.000000,3,Anomaly_Hunter/d05/Magnetometer 2026-08-18 03-55-30.zip,30.029786,7.853033,-45.443786,55.033005,0.160658,26.587561,3.541189,-56.203483,3.442225,4.311844,10.759697,12.091815
d10_r1,d10,10.000000,1,Anomaly_Hunter/d10/Magnetometer 2026-08-18 03-56-12.zip,26.887124,4.536238,-55.274351,61.634235,0.144483,26.587561,3.541189,-56.203483,0.299563,0.995049,0.929132,1.393968
d10_r2,d10,10.000000,2,Anomaly_Hunter/d10/Magnetometer 2026-08-18 03-56-40.zip,26.863541,4.544422,-54.911545,61.299357,0.176266,26.587561,3.541189,-56.203483,0.275980,1.003234,1.291938,1.658839
d10_r3,d10,10.000000,3,Anomaly_Hunter/d10/Magnetometer 2026-08-18 03-57-08.zip,26.734449,4.721341,-55.031304,61.363659,0.150170,26.587561,3.541189,-56.203483,0.146888,1.180152,1.172179,1.669832
d20_r1,d20,20.000000,1,Anomaly_Hunter/d20/Magnetometer 2026-08-18 03-57-42.zip,26.262120,3.406687,-56.901033,62.761960,0.145003,26.587561,3.541189,-56.203483,-0.325441,-0.134502,-0.697550,0.781395
d20_r2,d20,20.000000,2,Anomaly_Hunter/d20/Magnetometer 2026-08-18 03-58-07.zip,26.328221,3.260996,-56.742716,62.638569,0.141706,26.587561,3.541189,-56.203483,-0.259341,-0.280193,-0.539233,0.660710
d20_r3,d20,20.000000,3,Anomaly_Hunter/d20/Magnetometer 2026-08-18 03-58-28.zip,26.356636,3.315920,-56.687049,62.602921,0.164548,26.587561,3.541189,-56.203483,-0.230925,-0.225269,-0.483565,0.581298
