measurement_id,series,measurement_type,edge_gap_cm,repeat,source_archive,sample_count,duration_s,mean_field_x_ut,mean_field_y_ut,mean_field_z_ut,std_field_x_ut,std_field_y_ut,std_field_z_ut,mean_absolute_field_ut,std_absolute_field_ut
background_end_r1,background_end,background,,1,Anomaly_Hunter/backgorund_end/Magnetometer 2026-08-18 04-00-59.zip,1289,12.848766,26.931223,3.613946,-55.146282,0.107157,0.122211,0.194645,61.477603,0.180222
background_start_r1,background_start,background,,1,Anomaly_Hunter/background_start/Magnetometer 2026-08-18 03-53-49.zip,1206,12.021499,26.243900,3.468431,-57.260684,0.153324,0.171675,0.195478,63.084246,0.165357
d05_r1,d05,anomaly,5.000000,1,Anomaly_Hunter/d05/Magnetometer 2026-08-18 03-54-39.zip,1215,12.111167,30.041016,7.889687,-45.213269,0.115972,0.117347,0.169769,54.854141,0.169610
d05_r2,d05,anomaly,5.000000,2,Anomaly_Hunter/d05/Magnetometer 2026-08-18 03-55-06.zip,1159,11.552332,29.966051,7.864322,-45.564474,0.124070,0.129198,0.152166,55.099621,0.141332
d05_r3,d05,anomaly,5.000000,3,Anomaly_Hunter/d05/Magnetometer 2026-08-18 03-55-30.zip,1212,12.081020,30.029786,7.853033,-45.443786,0.154421,0.135567,0.139243,55.033005,0.160658
d10_r1,d10,anomaly,10.000000,1,Anomaly_Hunter/d10/Magnetometer 2026-08-18 03-56-12.zip,1234,12.300358,26.887124,4.536238,-55.274351,0.113588,0.132665,0.143259,61.634235,0.144483
d10_r2,d10,anomaly,10.000000,2,Anomaly_Hunter/d10/Magnetometer 2026-08-18 03-56-40.zip,1149,11.452327,26.863541,4.544422,-54.911545,0.120105,0.132433,0.175965,61.299357,0.176266
d10_r3,d10,anomaly,10.000000,3,Anomaly_Hunter/d10/Magnetometer 2026-08-18 03-57-08.zip,1143,11.392431,26.734449,4.721341,-55.031304,0.119792,0.127652,0.156023,61.363659,0.150170
d20_r1,d20,anomaly,20.000000,1,Anomaly_Hunter/d20/Magnetometer 2026-08-18 03-57-42.zip,1144,11.402342,26.262120,3.406687,-56.901033,0.135601,0.120989,0.139867,62.761960,0.145003
d20_r2,d20,anomaly,20.000000,2,Anomaly_Hunter/d20/Magnetometer 2026-08-18 03-58-07.zip,1139,11.352481,26.328221,3.260996,-56.742716,0.148720,0.156761,0.136345,62.638569,0.141706
d20_r3,d20,anomaly,20.000000,3,Anomaly_Hunter/d20/Magnetometer 2026-08-18 03-58-28.zip,1142,11.382404,26.356636,3.315920,-56.687049,0.151289,0.135796,0.149636,62.602921,0.164548
dmin_r1,dmin,anomaly,0.000000,1,Anomaly_Hunter/dmin/Magnetometer 2026-08-18 03-59-02.zip,1144,11.402286,-6.098650,-116.832484,33.842152,0.098676,0.125785,0.192521,121.788175,0.131117
dmin_r2,dmin,anomaly,0.000000,2,Anomaly_Hunter/dmin/Magnetometer 2026-08-18 03-59-27.zip,1214,12.100585,-6.181760,-116.903191,33.369909,0.114923,0.118983,0.167886,121.729861,0.133002
dmin_r3,dmin,anomaly,0.000000,3,Anomaly_Hunter/dmin/Magnetometer 2026-08-18 03-59-50.zip,1159,11.551956,-6.141726,-116.782074,32.934180,0.133921,0.107896,0.246923,121.492834,0.125430
